'7p5um_afterProtein_0'	'7p5um_afterProtein_1'	'7p5um_afterProtein_2'	'7p5um_afterProtein_3'	'7p5um_afterProtein_4'	'7p5um_beforeProtein_0'	'7p5um_beforeProtein_1'	'7p5um_beforeProtein_2'	'7p5um_beforeProtein_3'	'7p5um_beforeProtein_4'	'7p5um_duringProtein_0'	'7p5um_duringProtein_1'	'7p5um_duringProtein_2'	'7p5um_duringProtein_3'	'7p5um_duringProtein_4'
-0.003858941400374571	-0.002044584786509429	0.001606801455377949	0.001027172126720099	-0.001054714939915824	0.001791506277077803	0.0008487447258365144	0.001445510713774079	-0.001935863439856411	-0.001109374259027907	7.982154753383153e-05	-0.0008461527131096019	0.001443712840019873	0.002746042422140882	0.0002529217736304545
-0.003257402204555504	-0.002936904635075899	0.00052370337346197	0.00115798097537867	-0.001456000756093756	0.002607803313888879	0.001207504300504203	0.001005818328658092	-0.002228020014214849	-0.002101162113878785	0.0005929419856927076	-0.0005673053160265285	0.002142748106225723	0.002079658914722282	0.0002682619005665576
-0.003726588519407992	-0.003070591653542176	0.0006258534946250727	0.0002660898504655562	-0.00142099336197532	0.001958174357789333	0.001005826172455648	0.0007779200749535864	-0.003175648749478732	-0.002935485414129024	0.002013594675365105	-0.0006717349848773119	0.00108936209092797	0.001768234515849454	0.0001479428611513289
-0.002722597523277304	-0.003416187669402826	-0.0004232755690765089	-0.0005268991628749053	-0.002096610292360745	0.001220967803289508	0.001224251088061623	0.0007165185843654998	-0.002963279580944667	-0.00330110216455537	0.002456258276284817	-0.0008985129753077276	0.001514360166128603	0.001865281043185563	0.0004567538213813838
-0.00278602712898901	-0.003729336132176075	0.000609391869065945	-0.0003211220315553209	-0.00316232740902711	0.001930412484340671	0.001803035157767752	0.001009551631485195	-0.003082286367473319	-0.004551912913528744	0.002369497368502782	-0.001350095367735241	0.001295092487869465	0.002366205641963604	0.0003584591430133011
-0.003948018115297658	-0.003809687172969312	0.0004490898455198344	-0.0003533139224153325	-0.00191825700587156	0.002010093684327141	0.002122510471129768	0.001463875704868167	-0.003475955224765126	-0.004679327367072661	0.002019175339651902	-0.0004141982367798502	0.0003042010599850209	0.002475450304052829	0.0006212804313354692
-0.003042765383010182	-0.003502537710224352	0.000363190175462158	-0.0005790958051602457	-0.002097882701240339	0.002578529135713103	0.00304043392047626	0.001498663346269469	-0.00359622867150905	-0.005274867739961442	0.001507833321331087	-0.0002906905904731805	-4.060520700327475e-05	0.003308548057602445	-0.0004103329636682695
-0.003502263416246043	-0.003342436803156212	0.000569540004577429	-0.0008725135786531446	-0.00196720012408691	0.002958410674664402	0.002997497216470191	0.001715830837220489	-0.003561103953724665	-0.005952100955666118	0.001717251776534368	0.0002135332703236542	0.0001715816839446549	0.002799518422826941	0.0004556034694780942
-0.003539910546866198	-0.003131074160038994	0.0006587375685493946	-0.001480921991515338	-0.002927601160912063	0.002858497568497209	0.003100801808053999	0.001004172873909526	-0.003002729265569215	-0.006006831315548466	0.002001314439760704	9.253463900300851e-05	-0.0006625824416282566	0.002325611824236351	0.001528335982427187
-0.003574544481169561	-0.003107554152575409	0.0002743455078723089	-0.001660345995664503	-0.003234470003546264	0.003240949784045877	0.002408835459779657	0.001078288904516778	-0.003468364652651379	-0.005131076665478407	0.0006459395071831686	0.000224756724118369	-0.001212265216325614	0.002604831173220135	0.001257699831136605
-0.004223100786017397	-0.003723212311356749	0.0002638443736535656	-0.002616753186309384	-0.002665836998808402	0.003106495966958778	0.002501509190186657	0.001355114351134445	-0.003367295186061159	-0.005159462527831837	0.0002575367223661695	0.0002160853055250961	-0.001205730987989595	0.003223710058366802	0.001052493194237392
-0.003561709671628388	-0.005291845531909534	0.0003125838070751064	-0.002438499871888766	-0.001792134908702669	0.003293908470235696	0.001024539181304129	0.001252120555082503	-0.00420135499708274	-0.005835040739163411	0.0009300761339664509	0.0006426564977355387	-0.001628578904821487	0.002972128885214087	0.0008053961557397682
-0.004174408327877188	-0.004573059377786848	-0.0002703549138846073	-0.003024734774252524	-0.002607590567036411	0.002651716385930203	0.0009742632774549786	0.0006513037351930651	-0.00440038176782348	-0.006022849410085462	0.0007018840452222008	-0.0001077504266335794	-0.002132634519750154	0.003798400816486802	0.0007543509992399278
-0.004196368395361749	-0.004311823089621192	-0.001020282845585307	-0.00324327719976536	-0.001558074264821574	0.002670319737196891	0.001675271380126631	0.0007152166162105456	-0.004119213329327631	-0.005610381775930207	0.0005714325791352781	0.0005672169090201185	-0.001848852806720869	0.003285769485540269	-0.0003611483227155543
-0.004784680853302414	-0.005273969039755799	-0.001238704699160764	-0.002852250329587025	-0.001503958122223592	0.002297349959612172	0.001380065032630662	0.001593332404395409	-0.003752365213252673	-0.004961458567836252	-1.37437539553531e-05	1.312235918610183e-05	-0.001701870003462946	0.00329218636590789	-0.001291630105242525
-0.004062107295931816	-0.005724657260077204	-0.002147159659621645	-0.002433711385804116	-0.002155867377505061	0.002036981354811007	0.001350154730073494	0.0007826701630135879	-0.00431280051373889	-0.005221100060911255	0.000466167892165914	0.001319328525475755	-0.0008081364958689163	0.004226164279694855	-0.001410886819775192
